Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;;;Personas físicas sin actividad empresarial;2007T4;45
Nacional;;;Personas físicas sin actividad empresarial;2007T3;23
Nacional;;;Personas físicas sin actividad empresarial;2007T2;26
Nacional;;;Personas físicas sin actividad empresarial;2007T1;20
Nacional;;;Personas físicas sin actividad empresarial;2006T4;16
Nacional;;;Personas físicas sin actividad empresarial;2006T3;7
Nacional;;;Personas físicas sin actividad empresarial;2006T2;18
Nacional;;;Personas físicas sin actividad empresarial;2006T1;11
Nacional;;;Personas físicas sin actividad empresarial;2005T4;7
Nacional;;;Personas físicas sin actividad empresarial;2005T3;30
Nacional;;;Personas físicas sin actividad empresarial;2005T2;26
Nacional;;;Personas físicas sin actividad empresarial;2005T1;11
Nacional;;;Empresas: personas físicas;2020T4;239
Nacional;;;Empresas: personas físicas;2020T3;135
Nacional;;;Empresas: personas físicas;2020T2;90
Nacional;;;Empresas: personas físicas;2020T1;173
Nacional;;;Empresas: personas físicas;2019T4;145
Nacional;;;Empresas: personas físicas;2019T3;96
Nacional;;;Empresas: personas físicas;2019T2;122
Nacional;;;Empresas: personas físicas;2019T1;108
Nacional;;;Empresas: personas físicas;2018T4;95
Nacional;;;Empresas: personas físicas;2018T3;82
Nacional;;;Empresas: personas físicas;2018T2;96
Nacional;;;Empresas: personas físicas;2018T1;118
Nacional;;;Empresas: personas físicas;2017T4;86
Nacional;;;Empresas: personas físicas;2017T3;39
Nacional;;;Empresas: personas físicas;2017T2;78
Nacional;;;Empresas: personas físicas;2017T1;77
Nacional;;;Empresas: personas físicas;2016T4;67
Nacional;;;Empresas: personas físicas;2016T3;45
Nacional;;;Empresas: personas físicas;2016T2;70
Nacional;;;Empresas: personas físicas;2016T1;47
Nacional;;;Empresas: personas físicas;2015T4;48
Nacional;;;Empresas: personas físicas;2015T3;42
Nacional;;;Empresas: personas físicas;2015T2;41
Nacional;;;Empresas: personas físicas;2015T1;51
Nacional;;;Empresas: personas físicas;2014T4;49
Nacional;;;Empresas: personas físicas;2014T3;27
Nacional;;;Empresas: personas físicas;2014T2;57
Nacional;;;Empresas: personas físicas;2014T1;53
Nacional;;;Empresas: personas físicas;2013T4;52
Nacional;;;Empresas: personas físicas;2013T3;53
Nacional;;;Empresas: personas físicas;2013T2;59
Nacional;;;Empresas: personas físicas;2013T1;76
Nacional;;;Empresas: personas físicas;2012T4;65
Nacional;;;Empresas: personas físicas;2012T3;50
Nacional;;;Empresas: personas físicas;2012T2;97
Nacional;;;Empresas: personas físicas;2012T1;103
Nacional;;;Empresas: personas físicas;2011T4;52
Nacional;;;Empresas: personas físicas;2011T3;48
Nacional;;;Empresas: personas físicas;2011T2;69
Nacional;;;Empresas: personas físicas;2011T1;75
